奶茶店名称,地址,纬度,经度
1点点(黄陂店),前川街道百秀街104号(黄陂广场旁),30.886108,114.379856
1点点(岳家嘴金禾店),徐东大街191号金禾时尚中心一楼117号商铺,30.583448,114.370252
1点点(武广店),解放大道684号附34号,30.585675,114.273772
1点点(光谷金融港店),东湖新技术开发区流芳路大舒村商网B栋2楼4号商铺,30.463499,114.439657
1点点(武音店),解放路286-1-1号,30.544633,114.304556
1点点(光谷德国风情街店),梳子桥路光谷德国风情街8栋81020商铺,30.506767,114.415926
1点点(二中店),中山大道1455号,30.61107,114.314563
1点点(happy站台店),中山大道818号平安大厦B1层C135A号,30.58504,114.297915
1点点(汉街店),中北路武汉楚河汉街1F层YX-WS-016,30.562493,114.348916
1点点(街道口店),武珞路824号（街道口地铁A出口西30米）,30.532945,114.358459
1点点(武汉大悦城店),光谷大悦城购物中心B1-55A号商铺,30.494414,114.504648
1点点(南湖城市广场店),紫阳街道建安街风华天城流云湾5-14号。(南湖沃尔玛西侧50米),30.510326,114.330401
1点点(群光店),珞喻路6号群光广场B1层A-21铺,30.531597,114.361819
1点点(蔡甸店),汉阳大街74附4,30.585956,114.037633
1点点(街道口创意城店),珞喻路35号银泰创意城8层013-A,30.532892,114.36262
1点点(百步亭店),百步亭花园路万家汇壹层S1-28号商铺,30.658908,114.322096
1点点(汉口火车站店),汉口站西路汉口火车站地铁大厅负一楼CD出口,30.6212,114.260731
1点点(中南天紫店),中南一路3号中南天紫广场A馆1层,30.543667,114.338772
1点点(黄家湖店),丽水南路福星惠誉·东澜岸34-59号楼小区底商10号,30.439329,114.272657
1点点(武昌工学院店),白沙洲大道108号青润家园7号楼A座1层6号商铺,30.493809,114.288273
1点点(吴家山中心广场店),五丰街吴家山中心广场1－17,30.628987,114.145802
1点点(江夏名城店),红花路大花岭小区A14栋,30.420475,114.318393
1点点(雄楚一号店),湖北省武汉市洪山区雄楚大道雄楚一号一期第一层N159号,30.504533,114.396859
1点点(梅苑小区地铁店),地铁4号线梅苑小区站D出口,30.537086,114.332525
1点点(光谷天地店),关山大道519号光谷天地1层GF-011,30.48338,114.416734
1点点(菱角湖万达店),唐家墩路5-1号万达广场万达金街B022,30.616591,114.274089
1点点(光谷科技港店),华师园北路科技港1016,30.462974,114.405545
1点点(文华学院店),文华路祥和雅居9栋对面临街商6号,30.503106,114.443304
1点点(盘龙城万达广场店),巨龙大道盘龙城万达广场B1F乐美享美食城4-3号商铺,30.699882,114.311494
1点点(钟家村店),湖北省武汉市汉阳区汉阳大道139号汉商银座购物中心B1,30.554942,114.27381
